Nome do Colaborador;123.456.789-00;12345678-9;Classe da Carteira;1989-12-31;rock@gmail.com;2019-12-31;123456789
John Doe;123.456.789-00;MG-12.345.678;A;1990-01-01;john.doe@example.com;2020-01-01;(12) 3456-7890
Jane Smith;987.654.321-00;MG-87.654.321;B;1985-02-02;jane.smith@example.com;2019-02-02;(98) 7654-3210
Alice Johnson;543.210.987-00;MG-54.321.098;C;1980-03-03;alice.johnson@example.com;2018-03-03;(54) 3210-9876
John Doe;123.456.789-00;MG-12.345.678;A;1990-01-01;john.doe@example.com;2020-01-01;(12) 3456-7890
Jane Smith;987.654.321-00;MG-87.654.321;B;1985-02-02;jane.smith@example.com;2019-02-02;(98) 7654-3210
Alice Johnson;543.210.987-00;MG-54.321.098;C;1980-03-03;alice.johnson@example.com;2018-03-03;(54) 3210-9876
John Doe;123.456.789-00;MG-12.345.678;A;1990-01-01;john.doe@example.com;2020-01-01;(12) 3456-7890
Jane Smith;987.654.321-00;MG-87.654.321;B;1985-02-02;jane.smith@example.com;2019-02-02;(98) 7654-3210
Alice Johnson;543.210.987-00;MG-54.321.098;C;1980-03-03;alice.johnson@example.com;2018-03-03;(54) 3210-9876
João Silva;12345678901;MG1234567;A;1985-05-20;joao.silva@example.com;2020-01-15;11999999999
Maria Oliveira;98765432100;SP9876543;B;1990-07-25;maria.oliveira@example.com;2019-03-10;11888888888
Carlos Souza;11122233344;RJ1112223;C;1982-11-10;carlos.souza@example.com;2021-06-30;11777777777
Ana Pereira;55566677788;BA5556667;D;1995-03-15;ana.pereira@example.com;2018-12-05;11666666666
Pedro Lima;99988877766;PR9998887;E;1988-01-05;pedro.lima@example.com;2017-09-25;11555555555
John Doe;123.456.789-00;MG-12.345.678;A;1990-01-01;john.doe@example.com;2020-01-01;(12) 3456-7890
Jane Smith;987.654.321-00;MG-87.654.321;B;1985-02-02;jane.smith@example.com;2019-02-02;(98) 7654-3210
Alice Johnson;543.210.987-00;MG-54.321.098;C;1980-03-03;alice.johnson@example.com;2018-03-03;(54) 3210-9876
